Player,Team,Opposition,Runs,NotOut,Mins,BF,4s,6s,SR,Inns,Venue,Start Date,Year
MA Agarwal,Kings XI Punjab,Royal Challengers Bangalore,35,0,30,21,5,1,166.66,2,Bengaluru,24-Apr-19,2019
DA Miller,Kings XI Punjab,Royal Challengers Bangalore,24,0,42,25,2,0,96,2,Bengaluru,24-Apr-19,2019
N Pooran,Kings XI Punjab,Royal Challengers Bangalore,46,0,40,28,1,5,164.28,2,Bengaluru,24-Apr-19,2019
Mandeep Singh,Kings XI Punjab,Royal Challengers Bangalore,4,1,14,4,0,0,100,2,Bengaluru,24-Apr-19,2019
R Ashwin,Kings XI Punjab,Royal Challengers Bangalore,6,0,2,2,0,1,300,2,Bengaluru,24-Apr-19,2019
GC Viljoen,Kings XI Punjab,Royal Challengers Bangalore,0,0,1,1,0,0,0,2,Bengaluru,24-Apr-19,2019
M Ashwin,Kings XI Punjab,Royal Challengers Bangalore,1,1,3,2,0,0,50,2,Bengaluru,24-Apr-19,2019
AS Rajpoot,Kings XI Punjab,Royal Challengers Bangalore,0,0,0,0,0,0,0,2,Bengaluru,24-Apr-19,2019
Mohammed Shami,Kings XI Punjab,Royal Challengers Bangalore,0,0,0,0,0,0,0,2,Bengaluru,24-Apr-19,2019
DA Warner,Sunrisers Hyderabad,Chennai Super Kings,57,0,63,45,3,2,126.66,1,Chennai,23-Apr-19,2019
JM Bairstow,Sunrisers Hyderabad,Chennai Super Kings,0,0,9,2,0,0,0,1,Chennai,23-Apr-19,2019
MK Pandey,Sunrisers Hyderabad,Chennai Super Kings,83,1,84,49,7,3,169.38,1,Chennai,23-Apr-19,2019
V Shankar,Sunrisers Hyderabad,Chennai Super Kings,26,0,25,20,2,1,130,1,Chennai,23-Apr-19,2019
YK Pathan,Sunrisers Hyderabad,Chennai Super Kings,5,1,5,4,0,0,125,1,Chennai,23-Apr-19,2019
Rashid Khan,Sunrisers Hyderabad,Chennai Super Kings,0,0,0,0,0,0,0,1,Chennai,23-Apr-19,2019
Shakib Al Hasan,Sunrisers Hyderabad,Chennai Super Kings,0,0,0,0,0,0,0,1,Chennai,23-Apr-19,2019
DJ Hooda,Sunrisers Hyderabad,Chennai Super Kings,0,0,0,0,0,0,0,1,Chennai,23-Apr-19,2019
Sandeep Sharma,Sunrisers Hyderabad,Chennai Super Kings,0,0,0,0,0,0,0,1,Chennai,23-Apr-19,2019
KK Ahmed,Sunrisers Hyderabad,Chennai Super Kings,0,0,0,0,0,0,0,1,Chennai,23-Apr-19,2019
B Kumar,Sunrisers Hyderabad,Chennai Super Kings,0,0,0,0,0,0,0,1,Chennai,23-Apr-19,2019
SR Watson,Chennai Super Kings,Sunrisers Hyderabad,96,0,91,53,9,6,181.13,2,Chennai,23-Apr-19,2019
F du Plessis,Chennai Super Kings,Sunrisers Hyderabad,1,0,12,7,0,0,14.28,2,Chennai,23-Apr-19,2019
SK Raina,Chennai Super Kings,Sunrisers Hyderabad,38,0,42,24,6,1,158.33,2,Chennai,23-Apr-19,2019
AT Rayudu,Chennai Super Kings,Sunrisers Hyderabad,21,0,49,25,1,0,84,2,Chennai,23-Apr-19,2019
KM Jadhav,Chennai Super Kings,Sunrisers Hyderabad,11,1,14,10,0,1,110,2,Chennai,23-Apr-19,2019
DJ Bravo,Chennai Super Kings,Sunrisers Hyderabad,0,1,1,0,0,0,0,2,Chennai,23-Apr-19,2019
MS Dhoni,Chennai Super Kings,Sunrisers Hyderabad,0,0,0,0,0,0,0,2,Chennai,23-Apr-19,2019
DL Chahar,Chennai Super Kings,Sunrisers Hyderabad,0,0,0,0,0,0,0,2,Chennai,23-Apr-19,2019
Imran Tahir,Chennai Super Kings,Sunrisers Hyderabad,0,0,0,0,0,0,0,2,Chennai,23-Apr-19,2019
RA Jadeja,Chennai Super Kings,Sunrisers Hyderabad,0,0,0,0,0,0,0,2,Chennai,23-Apr-19,2019
Harbhajan Singh,Chennai Super Kings,Sunrisers Hyderabad,0,0,0,0,0,0,0,2,Chennai,23-Apr-19,2019
AM Rahane,Rajasthan Royals,Delhi Capitals,105,1,100,63,11,3,166.66,1,Jaipur,22-Apr-19,2019
SV Samson,Rajasthan Royals,Delhi Capitals,0,0,7,0,0,0,0,1,Jaipur,22-Apr-19,2019
SPD Smith,Rajasthan Royals,Delhi Capitals,50,0,57,32,8,0,156.25,1,Jaipur,22-Apr-19,2019
BA Stokes,Rajasthan Royals,Delhi Capitals,8,0,15,8,1,0,100,1,Jaipur,22-Apr-19,2019
AJ Turner,Rajasthan Royals,Delhi Capitals,0,0,6,1,0,0,0,1,Jaipur,22-Apr-19,2019
STR Binny,Rajasthan Royals,Delhi Capitals,19,0,15,13,2,0,146.15,1,Jaipur,22-Apr-19,2019
R Parag,Rajasthan Royals,Delhi Capitals,4,0,3,3,1,0,133.33,1,Jaipur,22-Apr-19,2019
JD Unadkat,Rajasthan Royals,Delhi Capitals,0,0,0,0,0,0,0,1,Jaipur,22-Apr-19,2019
DS Kulkarni,Rajasthan Royals,Delhi Capitals,0,0,0,0,0,0,0,1,Jaipur,22-Apr-19,2019
S Gopal,Rajasthan Royals,Delhi Capitals,0,0,0,0,0,0,0,1,Jaipur,22-Apr-19,2019
JC Archer,Rajasthan Royals,Delhi Capitals,0,0,0,0,0,0,0,1,Jaipur,22-Apr-19,2019
PP Shaw,Delhi Capitals,Rajasthan Royals,42,0,83,39,4,1,107.69,2,Jaipur,22-Apr-19,2019
S Dhawan,Delhi Capitals,Rajasthan Royals,54,0,36,27,8,2,200,2,Jaipur,22-Apr-19,2019
SS Iyer,Delhi Capitals,Rajasthan Royals,4,0,5,5,0,0,80,2,Jaipur,22-Apr-19,2019
RR Pant,Delhi Capitals,Rajasthan Royals,78,1,57,36,6,4,216.66,2,Jaipur,22-Apr-19,2019
SE Rutherford,Delhi Capitals,Rajasthan Royals,11,0,9,5,1,1,220,2,Jaipur,22-Apr-19,2019
CA Ingram,Delhi Capitals,Rajasthan Royals,3,1,8,5,0,0,60,2,Jaipur,22-Apr-19,2019
AR Patel,Delhi Capitals,Rajasthan Royals,0,0,0,0,0,0,0,2,Jaipur,22-Apr-19,2019
I Sharma,Delhi Capitals,Rajasthan Royals,0,0,0,0,0,0,0,2,Jaipur,22-Apr-19,2019
CH Morris,Delhi Capitals,Rajasthan Royals,0,0,0,0,0,0,0,2,Jaipur,22-Apr-19,2019
A Mishra,Delhi Capitals,Rajasthan Royals,0,0,0,0,0,0,0,2,Jaipur,22-Apr-19,2019
K Rabada,Delhi Capitals,Rajasthan Royals,0,0,0,0,0,0,0,2,Jaipur,22-Apr-19,2019
PA Patel,Royal Challengers Bangalore,Chennai Super Kings,53,0,78,37,2,4,143.24,1,Bengaluru,21-Apr-19,2019
V Kohli,Royal Challengers Bangalore,Chennai Super Kings,9,0,14,8,2,0,112.5,1,Bengaluru,21-Apr-19,2019
AB de Villiers,Royal Challengers Bangalore,Chennai Super Kings,25,0,22,19,3,1,131.57,1,Bengaluru,21-Apr-19,2019
AD Nath,Royal Challengers Bangalore,Chennai Super Kings,24,0,26,20,1,1,120,1,Bengaluru,21-Apr-19,2019
MP Stoinis,Royal Challengers Bangalore,Chennai Super Kings,14,0,24,13,0,1,107.69,1,Bengaluru,21-Apr-19,2019
MM Ali,Royal Challengers Bangalore,Chennai Super Kings,26,0,23,16,5,0,162.5,1,Bengaluru,21-Apr-19,2019
P Negi,Royal Challengers Bangalore,Chennai Super Kings,5,0,12,6,0,0,83.33,1,Bengaluru,21-Apr-19,2019
UT Yadav,Royal Challengers Bangalore,Chennai Super Kings,1,1,6,1,0,0,100,1,Bengaluru,21-Apr-19,2019
DW Steyn,Royal Challengers Bangalore,Chennai Super Kings,0,1,1,0,0,0,0,1,Bengaluru,21-Apr-19,2019
YS Chahal,Royal Challengers Bangalore,Chennai Super Kings,0,0,0,0,0,0,0,1,Bengaluru,21-Apr-19,2019
NA Saini,Royal Challengers Bangalore,Chennai Super Kings,0,0,0,0,0,0,0,1,Bengaluru,21-Apr-19,2019
SR Watson,Chennai Super Kings,Royal Challengers Bangalore,5,0,6,3,1,0,166.66,2,Bengaluru,21-Apr-19,2019
F du Plessis,Chennai Super Kings,Royal Challengers Bangalore,5,0,25,15,0,0,33.33,2,Bengaluru,21-Apr-19,2019
SK Raina,Chennai Super Kings,Royal Challengers Bangalore,0,0,1,1,0,0,0,2,Bengaluru,21-Apr-19,2019
AT Rayudu,Chennai Super Kings,Royal Challengers Bangalore,29,0,66,29,2,1,100,2,Bengaluru,21-Apr-19,2019
KM Jadhav,Chennai Super Kings,Royal Challengers Bangalore,9,0,10,9,2,0,100,2,Bengaluru,21-Apr-19,2019
MS Dhoni,Chennai Super Kings,Royal Challengers Bangalore,84,1,82,48,5,7,175,2,Bengaluru,21-Apr-19,2019
RA Jadeja,Chennai Super Kings,Royal Challengers Bangalore,11,0,19,12,0,0,91.66,2,Bengaluru,21-Apr-19,2019
DJ Bravo,Chennai Super Kings,Royal Challengers Bangalore,5,0,16,4,0,0,125,2,Bengaluru,21-Apr-19,2019
SN Thakur,Chennai Super Kings,Royal Challengers Bangalore,0,0,8,0,0,0,0,2,Bengaluru,21-Apr-19,2019
Imran Tahir,Chennai Super Kings,Royal Challengers Bangalore,0,0,0,0,0,0,0,2,Bengaluru,21-Apr-19,2019
DL Chahar,Chennai Super Kings,Royal Challengers Bangalore,0,0,0,0,0,0,0,2,Bengaluru,21-Apr-19,2019
CA Lynn,Kolkata Knight Riders,Sunrisers Hyderabad,51,0,90,47,4,1,108.51,1,Hyderabad (Deccan),21-Apr-19,2019
SP Narine,Kolkata Knight Riders,Sunrisers Hyderabad,25,0,15,8,3,2,312.5,1,Hyderabad (Deccan),21-Apr-19,2019
Shubman Gill,Kolkata Knight Riders,Sunrisers Hyderabad,3,0,9,4,0,0,75,1,Hyderabad (Deccan),21-Apr-19,2019
N Rana,Kolkata Knight Riders,Sunrisers Hyderabad,11,0,15,11,1,0,100,1,Hyderabad (Deccan),21-Apr-19,2019
KD Karthik,Kolkata Knight Riders,Sunrisers Hyderabad,6,0,9,4,1,0,150,1,Hyderabad (Deccan),21-Apr-19,2019
RK Singh,Kolkata Knight Riders,Sunrisers Hyderabad,30,0,36,25,1,2,120,1,Hyderabad (Deccan),21-Apr-19,2019
AD Russell,Kolkata Knight Riders,Sunrisers Hyderabad,15,0,17,9,0,2,166.66,1,Hyderabad (Deccan),21-Apr-19,2019
PP Chawla,Kolkata Knight Riders,Sunrisers Hyderabad,4,0,15,8,1,0,50,1,Hyderabad (Deccan),21-Apr-19,2019
Y Prithvi Raj,Kolkata Knight Riders,Sunrisers Hyderabad,0,1,7,1,0,0,0,1,Hyderabad (Deccan),21-Apr-19,2019
KC Cariappa,Kolkata Knight Riders,Sunrisers Hyderabad,9,1,2,3,0,1,300,1,Hyderabad (Deccan),21-Apr-19,2019
HF Gurney,Kolkata Knight Riders,Sunrisers Hyderabad,0,0,0,0,0,0,0,1,Hyderabad (Deccan),21-Apr-19,2019
DA Warner,Sunrisers Hyderabad,Kolkata Knight Riders,67,0,63,38,3,5,176.31,2,Hyderabad (Deccan),21-Apr-19,2019
JM Bairstow,Sunrisers Hyderabad,Kolkata Knight Riders,80,1,76,43,7,4,186.04,2,Hyderabad (Deccan),21-Apr-19,2019
KS Williamson,Sunrisers Hyderabad,Kolkata Knight Riders,8,1,12,9,0,0,88.88,2,Hyderabad (Deccan),21-Apr-19,2019
DJ Hooda,Sunrisers Hyderabad,Kolkata Knight Riders,0,0,0,0,0,0,0,2,Hyderabad (Deccan),21-Apr-19,2019
KK Ahmed,Sunrisers Hyderabad,Kolkata Knight Riders,0,0,0,0,0,0,0,2,Hyderabad (Deccan),21-Apr-19,2019
V Shankar,Sunrisers Hyderabad,Kolkata Knight Riders,0,0,0,0,0,0,0,2,Hyderabad (Deccan),21-Apr-19,2019
B Kumar,Sunrisers Hyderabad,Kolkata Knight Riders,0,0,0,0,0,0,0,2,Hyderabad (Deccan),21-Apr-19,2019
Rashid Khan,Sunrisers Hyderabad,Kolkata Knight Riders,0,0,0,0,0,0,0,2,Hyderabad (Deccan),21-Apr-19,2019
YK Pathan,Sunrisers Hyderabad,Kolkata Knight Riders,0,0,0,0,0,0,0,2,Hyderabad (Deccan),21-Apr-19,2019
Sandeep Sharma,Sunrisers Hyderabad,Kolkata Knight Riders,0,0,0,0,0,0,0,2,Hyderabad (Deccan),21-Apr-19,2019
S Nadeem,Sunrisers Hyderabad,Kolkata Knight Riders,0,0,0,0,0,0,0,2,Hyderabad (Deccan),21-Apr-19,2019
KL Rahul,Kings XI Punjab,Delhi Capitals,12,0,9,9,1,1,133.33,1,Delhi,20-Apr-19,2019
CH Gayle,Kings XI Punjab,Delhi Capitals,69,0,65,37,6,5,186.48,1,Delhi,20-Apr-19,2019
MA Agarwal,Kings XI Punjab,Delhi Capitals,2,0,15,9,0,0,22.22,1,Delhi,20-Apr-19,2019
DA Miller,Kings XI Punjab,Delhi Capitals,7,0,15,5,1,0,140,1,Delhi,20-Apr-19,2019
Mandeep Singh,Kings XI Punjab,Delhi Capitals,30,0,44,27,1,1,111.11,1,Delhi,20-Apr-19,2019
SM Curran,Kings XI Punjab,Delhi Capitals,0,0,4,4,0,0,0,1,Delhi,20-Apr-19,2019
R Ashwin,Kings XI Punjab,Delhi Capitals,16,0,34,14,2,0,114.28,1,Delhi,20-Apr-19,2019
Harpreet Brar,Kings XI Punjab,Delhi Capitals,20,1,22,12,2,1,166.66,1,Delhi,20-Apr-19,2019
GC Viljoen,Kings XI Punjab,Delhi Capitals,2,1,4,3,0,0,66.66,1,Delhi,20-Apr-19,2019
M Ashwin,Kings XI Punjab,Delhi Capitals,0,0,0,0,0,0,0,1,Delhi,20-Apr-19,2019
Mohammed Shami,Kings XI Punjab,Delhi Capitals,0,0,0,0,0,0,0,1,Delhi,20-Apr-19,2019
PP Shaw,Delhi Capitals,Kings XI Punjab,13,0,18,11,1,1,118.18,2,Delhi,20-Apr-19,2019
S Dhawan,Delhi Capitals,Kings XI Punjab,56,0,71,41,7,1,136.58,2,Delhi,20-Apr-19,2019
SS Iyer,Delhi Capitals,Kings XI Punjab,58,1,93,49,5,1,118.36,2,Delhi,20-Apr-19,2019
RR Pant,Delhi Capitals,Kings XI Punjab,6,0,12,7,1,0,85.71,2,Delhi,20-Apr-19,2019
CA Ingram,Delhi Capitals,Kings XI Punjab,19,0,18,9,4,0,211.11,2,Delhi,20-Apr-19,2019
AR Patel,Delhi Capitals,Kings XI Punjab,1,0,3,1,0,0,100,2,Delhi,20-Apr-19,2019
SE Rutherford,Delhi Capitals,Kings XI Punjab,2,1,8,2,0,0,100,2,Delhi,20-Apr-19,2019
A Mishra,Delhi Capitals,Kings XI Punjab,0,0,0,0,0,0,0,2,Delhi,20-Apr-19,2019
S Lamichhane,Delhi Capitals,Kings XI Punjab,0,0,0,0,0,0,0,2,Delhi,20-Apr-19,2019
I Sharma,Delhi Capitals,Kings XI Punjab,0,0,0,0,0,0,0,2,Delhi,20-Apr-19,2019
K Rabada,Delhi Capitals,Kings XI Punjab,0,0,0,0,0,0,0,2,Delhi,20-Apr-19,2019
Q de Kock,Mumbai Indians,Rajasthan Royals,65,0,74,47,6,2,138.29,1,Jaipur,20-Apr-19,2019
RG Sharma,Mumbai Indians,Rajasthan Royals,5,0,13,7,1,0,71.42,1,Jaipur,20-Apr-19,2019
SA Yadav,Mumbai Indians,Rajasthan Royals,34,0,58,33,1,1,103.03,1,Jaipur,20-Apr-19,2019
HH Pandya,Mumbai Indians,Rajasthan Royals,23,0,37,15,2,1,153.33,1,Jaipur,20-Apr-19,2019
KA Pollard,Mumbai Indians,Rajasthan Royals,10,0,16,7,0,1,142.85,1,Jaipur,20-Apr-19,2019
BCJ Cutting,Mumbai Indians,Rajasthan Royals,13,1,20,9,1,1,144.44,1,Jaipur,20-Apr-19,2019
KH Pandya,Mumbai Indians,Rajasthan Royals,2,1,4,2,0,0,100,1,Jaipur,20-Apr-19,2019
M Markande,Mumbai Indians,Rajasthan Royals,0,0,0,0,0,0,0,1,Jaipur,20-Apr-19,2019
SL Malinga,Mumbai Indians,Rajasthan Royals,0,0,0,0,0,0,0,1,Jaipur,20-Apr-19,2019
JJ Bumrah,Mumbai Indians,Rajasthan Royals,0,0,0,0,0,0,0,1,Jaipur,20-Apr-19,2019
RD Chahar,Mumbai Indians,Rajasthan Royals,0,0,0,0,0,0,0,1,Jaipur,20-Apr-19,2019
AM Rahane,Rajasthan Royals,Mumbai Indians,12,0,18,12,2,0,100,2,Jaipur,20-Apr-19,2019
SV Samson,Rajasthan Royals,Mumbai Indians,35,0,36,19,6,1,184.21,2,Jaipur,20-Apr-19,2019
SPD Smith,Rajasthan Royals,Mumbai Indians,59,1,75,48,5,1,122.91,2,Jaipur,20-Apr-19,2019
BA Stokes,Rajasthan Royals,Mumbai Indians,0,0,4,2,0,0,0,2,Jaipur,20-Apr-19,2019
R Parag,Rajasthan Royals,Mumbai Indians,43,0,44,29,5,1,148.27,2,Jaipur,20-Apr-19,2019
AJ Turner,Rajasthan Royals,Mumbai Indians,0,0,3,1,0,0,0,2,Jaipur,20-Apr-19,2019
STR Binny,Rajasthan Royals,Mumbai Indians,7,1,7,4,1,0,175,2,Jaipur,20-Apr-19,2019
JC Archer,Rajasthan Royals,Mumbai Indians,0,0,0,0,0,0,0,2,Jaipur,20-Apr-19,2019
DS Kulkarni,Rajasthan Royals,Mumbai Indians,0,0,0,0,0,0,0,2,Jaipur,20-Apr-19,2019
S Gopal,Rajasthan Royals,Mumbai Indians,0,0,0,0,0,0,0,2,Jaipur,20-Apr-19,2019
JD Unadkat,Rajasthan Royals,Mumbai Indians,0,0,0,0,0,0,0,2,Jaipur,20-Apr-19,2019
PA Patel,Royal Challengers Bangalore,Kolkata Knight Riders,11,0,16,11,2,0,100,1,Kolkata,19-Apr-19,2019
V Kohli,Royal Challengers Bangalore,Kolkata Knight Riders,100,0,98,58,9,4,172.41,1,Kolkata,19-Apr-19,2019
AD Nath,Royal Challengers Bangalore,Kolkata Knight Riders,13,0,27,15,0,1,86.66,1,Kolkata,19-Apr-19,2019
MM Ali,Royal Challengers Bangalore,Kolkata Knight Riders,66,0,34,28,5,6,235.71,1,Kolkata,19-Apr-19,2019
MP Stoinis,Royal Challengers Bangalore,Kolkata Knight Riders,17,1,21,8,2,1,212.5,1,Kolkata,19-Apr-19,2019
H Klaasen,Royal Challengers Bangalore,Kolkata Knight Riders,0,0,0,0,0,0,0,1,Kolkata,19-Apr-19,2019
NA Saini,Royal Challengers Bangalore,Kolkata Knight Riders,0,0,0,0,0,0,0,1,Kolkata,19-Apr-19,2019
P Negi,Royal Challengers Bangalore,Kolkata Knight Riders,0,0,0,0,0,0,0,1,Kolkata,19-Apr-19,2019
DW Steyn,Royal Challengers Bangalore,Kolkata Knight Riders,0,0,0,0,0,0,0,1,Kolkata,19-Apr-19,2019
YS Chahal,Royal Challengers Bangalore,Kolkata Knight Riders,0,0,0,0,0,0,0,1,Kolkata,19-Apr-19,2019
Mohammed Siraj,Royal Challengers Bangalore,Kolkata Knight Riders,0,0,0,0,0,0,0,1,Kolkata,19-Apr-19,2019
CA Lynn,Kolkata Knight Riders,Royal Challengers Bangalore,1,0,5,2,0,0,50,2,Kolkata,19-Apr-19,2019
SP Narine,Kolkata Knight Riders,Royal Challengers Bangalore,18,0,18,16,4,0,112.5,2,Kolkata,19-Apr-19,2019
Shubman Gill,Kolkata Knight Riders,Royal Challengers Bangalore,9,0,21,11,1,0,81.81,2,Kolkata,19-Apr-19,2019
RV Uthappa,Kolkata Knight Riders,Royal Challengers Bangalore,9,0,43,20,1,0,45,2,Kolkata,19-Apr-19,2019
N Rana,Kolkata Knight Riders,Royal Challengers Bangalore,85,1,86,46,9,5,184.78,2,Kolkata,19-Apr-19,2019
AD Russell,Kolkata Knight Riders,Royal Challengers Bangalore,65,0,50,25,2,9,260,2,Kolkata,19-Apr-19,2019
KD Karthik,Kolkata Knight Riders,Royal Challengers Bangalore,0,1,1,0,0,0,0,2,Kolkata,19-Apr-19,2019
M Prasidh Krishna,Kolkata Knight Riders,Royal Challengers Bangalore,0,0,0,0,0,0,0,2,Kolkata,19-Apr-19,2019
Kuldeep Yadav,Kolkata Knight Riders,Royal Challengers Bangalore,0,0,0,0,0,0,0,2,Kolkata,19-Apr-19,2019
PP Chawla,Kolkata Knight Riders,Royal Challengers Bangalore,0,0,0,0,0,0,0,2,Kolkata,19-Apr-19,2019
HF Gurney,Kolkata Knight Riders,Royal Challengers Bangalore,0,0,0,0,0,0,0,2,Kolkata,19-Apr-19,2019
RG Sharma,Mumbai Indians,Delhi Capitals,30,0,33,22,3,1,136.36,1,Delhi,18-Apr-19,2019
Q de Kock,Mumbai Indians,Delhi Capitals,35,0,51,27,2,2,129.62,1,Delhi,18-Apr-19,2019
BCJ Cutting,Mumbai Indians,Delhi Capitals,2,0,8,4,0,0,50,1,Delhi,18-Apr-19,2019
SA Yadav,Mumbai Indians,Delhi Capitals,26,0,34,27,2,0,96.29,1,Delhi,18-Apr-19,2019
KH Pandya,Mumbai Indians,Delhi Capitals,37,1,48,26,5,0,142.3,1,Delhi,18-Apr-19,2019
HH Pandya,Mumbai Indians,Delhi Capitals,32,0,22,15,2,3,213.33,1,Delhi,18-Apr-19,2019
KA Pollard,Mumbai Indians,Delhi Capitals,0,1,3,0,0,0,0,1,Delhi,18-Apr-19,2019
J Yadav,Mumbai Indians,Delhi Capitals,0,0,0,0,0,0,0,1,Delhi,18-Apr-19,2019
JJ Bumrah,Mumbai Indians,Delhi Capitals,0,0,0,0,0,0,0,1,Delhi,18-Apr-19,2019
SL Malinga,Mumbai Indians,Delhi Capitals,0,0,0,0,0,0,0,1,Delhi,18-Apr-19,2019
RD Chahar,Mumbai Indians,Delhi Capitals,0,0,0,0,0,0,0,1,Delhi,18-Apr-19,2019
PP Shaw,Delhi Capitals,Mumbai Indians,20,0,37,24,2,0,83.33,2,Delhi,18-Apr-19,2019
S Dhawan,Delhi Capitals,Mumbai Indians,35,0,29,22,5,1,159.09,2,Delhi,18-Apr-19,2019
C Munro,Delhi Capitals,Mumbai Indians,3,0,13,9,0,0,33.33,2,Delhi,18-Apr-19,2019
SS Iyer,Delhi Capitals,Mumbai Indians,3,0,8,6,0,0,50,2,Delhi,18-Apr-19,2019
RR Pant,Delhi Capitals,Mumbai Indians,7,0,16,11,0,0,63.63,2,Delhi,18-Apr-19,2019
AR Patel,Delhi Capitals,Mumbai Indians,26,0,35,23,1,1,113.04,2,Delhi,18-Apr-19,2019
CH Morris,Delhi Capitals,Mumbai Indians,11,0,18,9,0,1,122.22,2,Delhi,18-Apr-19,2019
KMA Paul,Delhi Capitals,Mumbai Indians,0,0,2,0,0,0,0,2,Delhi,18-Apr-19,2019
K Rabada,Delhi Capitals,Mumbai Indians,9,0,12,8,0,1,112.5,2,Delhi,18-Apr-19,2019
A Mishra,Delhi Capitals,Mumbai Indians,6,1,11,8,0,0,75,2,Delhi,18-Apr-19,2019
I Sharma,Delhi Capitals,Mumbai Indians,0,1,1,0,0,0,0,2,Delhi,18-Apr-19,2019
SR Watson,Chennai Super Kings,Sunrisers Hyderabad,31,0,45,29,4,0,106.89,1,Hyderabad (Deccan),17-Apr-19,2019
F du Plessis,Chennai Super Kings,Sunrisers Hyderabad,45,0,50,31,3,3,145.16,1,Hyderabad (Deccan),17-Apr-19,2019
SK Raina,Chennai Super Kings,Sunrisers Hyderabad,13,0,18,13,2,0,100,1,Hyderabad (Deccan),17-Apr-19,2019
AT Rayudu,Chennai Super Kings,Sunrisers Hyderabad,25,1,57,21,2,0,119.04,1,Hyderabad (Deccan),17-Apr-19,2019
KM Jadhav,Chennai Super Kings,Sunrisers Hyderabad,1,0,5,2,0,0,50,1,Hyderabad (Deccan),17-Apr-19,2019
SW Billings,Chennai Super Kings,Sunrisers Hyderabad,0,0,7,4,0,0,0,1,Hyderabad (Deccan),17-Apr-19,2019
RA Jadeja,Chennai Super Kings,Sunrisers Hyderabad,10,1,31,20,0,0,50,1,Hyderabad (Deccan),17-Apr-19,2019
SN Thakur,Chennai Super Kings,Sunrisers Hyderabad,0,0,0,0,0,0,0,1,Hyderabad (Deccan),17-Apr-19,2019
Imran Tahir,Chennai Super Kings,Sunrisers Hyderabad,0,0,0,0,0,0,0,1,Hyderabad (Deccan),17-Apr-19,2019
DL Chahar,Chennai Super Kings,Sunrisers Hyderabad,0,0,0,0,0,0,0,1,Hyderabad (Deccan),17-Apr-19,2019
KV Sharma,Chennai Super Kings,Sunrisers Hyderabad,0,0,0,0,0,0,0,1,Hyderabad (Deccan),17-Apr-19,2019
DA Warner,Sunrisers Hyderabad,Chennai Super Kings,50,0,29,25,10,0,200,2,Hyderabad (Deccan),17-Apr-19,2019
JM Bairstow,Sunrisers Hyderabad,Chennai Super Kings,61,1,74,44,3,3,138.63,2,Hyderabad (Deccan),17-Apr-19,2019
KS Williamson,Sunrisers Hyderabad,Chennai Super Kings,3,0,7,5,0,0,60,2,Hyderabad (Deccan),17-Apr-19,2019
V Shankar,Sunrisers Hyderabad,Chennai Super Kings,7,0,21,11,0,0,63.63,2,Hyderabad (Deccan),17-Apr-19,2019
DJ Hooda,Sunrisers Hyderabad,Chennai Super Kings,13,0,20,16,1,0,81.25,2,Hyderabad (Deccan),17-Apr-19,2019
YK Pathan,Sunrisers Hyderabad,Chennai Super Kings,0,1,1,0,0,0,0,2,Hyderabad (Deccan),17-Apr-19,2019
Sandeep Sharma,Sunrisers Hyderabad,Chennai Super Kings,0,0,0,0,0,0,0,2,Hyderabad (Deccan),17-Apr-19,2019
Rashid Khan,Sunrisers Hyderabad,Chennai Super Kings,0,0,0,0,0,0,0,2,Hyderabad (Deccan),17-Apr-19,2019
B Kumar,Sunrisers Hyderabad,Chennai Super Kings,0,0,0,0,0,0,0,2,Hyderabad (Deccan),17-Apr-19,2019
KK Ahmed,Sunrisers Hyderabad,Chennai Super Kings,0,0,0,0,0,0,0,2,Hyderabad (Deccan),17-Apr-19,2019
S Nadeem,Sunrisers Hyderabad,Chennai Super Kings,0,0,0,0,0,0,0,2,Hyderabad (Deccan),17-Apr-19,2019
KL Rahul,Kings XI Punjab,Rajasthan Royals,52,0,86,47,3,2,110.63,1,Mohali,16-Apr-19,2019
CH Gayle,Kings XI Punjab,Rajasthan Royals,30,0,24,22,2,3,136.36,1,Mohali,16-Apr-19,2019
MA Agarwal,Kings XI Punjab,Rajasthan Royals,26,0,15,12,1,2,216.66,1,Mohali,16-Apr-19,2019
DA Miller,Kings XI Punjab,Rajasthan Royals,40,0,57,27,2,2,148.14,1,Mohali,16-Apr-19,2019
N Pooran,Kings XI Punjab,Rajasthan Royals,5,0,6,6,0,0,83.33,1,Mohali,16-Apr-19,2019
Mandeep Singh,Kings XI Punjab,Rajasthan Royals,0,0,2,2,0,0,0,1,Mohali,16-Apr-19,2019
R Ashwin,Kings XI Punjab,Rajasthan Royals,17,1,6,4,1,2,425,1,Mohali,16-Apr-19,2019
Mujeeb Ur Rahman,Kings XI Punjab,Rajasthan Royals,0,1,4,1,0,0,0,1,Mohali,16-Apr-19,2019
Arshdeep Singh,Kings XI Punjab,Rajasthan Royals,0,0,0,0,0,0,0,1,Mohali,16-Apr-19,2019
Mohammed Shami,Kings XI Punjab,Rajasthan Royals,0,0,0,0,0,0,0,1,Mohali,16-Apr-19,2019
M Ashwin,Kings XI Punjab,Rajasthan Royals,0,0,0,0,0,0,0,1,Mohali,16-Apr-19,2019
RA Tripathi,Rajasthan Royals,Kings XI Punjab,50,0,74,45,4,0,111.11,2,Mohali,16-Apr-19,2019
